AREA_NAME,POPULATION_2023,ASSAULT_2023,AUTOTHEFT_2023,BIKETHEFT_2023,BREAKENTER_2023,HOMICIDE_2023,ROBBERY_2023,SHOOTING_2023,THEFTFROMMV_2023,THEFTOVER_2023,POPULATION_2023
South Eglinton-Davisville,21987,101,21,37.0,43,,3.0,,40,8.0,21987
North Toronto,15077,105,18,22.0,31,,14.0,,41,7.0,15077
Dovercourt Village,13837,104,28,38.0,46,,21.0,1.0,24,3.0,13837
Junction-Wallace Emerson,26240,229,34,55.0,82,,18.0,2.0,57,9.0,26240
Yonge-Bay Corridor,14731,543,46,228.0,108,1.0,62.0,2.0,76,51.0,14731
Bay-Cloverhill,19055,142,17,56.0,61,,20.0,1.0,40,13.0,19055
Bendale-Glen Andrew,20773,237,144,10.0,29,,55.0,1.0,76,20.0,20773
Downsview,17003,208,95,8.0,74,,28.0,3.0,70,17.0,17003
Oakdale-Beverley Heights,21503,447,161,12.0,89,1.0,30.0,6.0,73,23.0,21503
Avondale,16149,50,25,9.0,19,,6.0,1.0,64,5.0,16149
East Willowdale,18285,48,86,10.0,73,,17.0,1.0,75,14.0,18285
Yonge-Doris,23234,104,47,17.0,16,1.0,14.0,,143,18.0,23234
Fenside-Parkwoods,22909,130,40,7.0,20,1.0,14.0,1.0,38,7.0,22909
Parkwoods-O'Connor Hills,14788,96,55,2.0,35,,6.0,2.0,27,7.0,14788
East L'Amoreaux,23988,83,53,7.0,26,,10.0,4.0,40,6.0,23988
L'Amoreaux West,24374,118,63,8.0,27,1.0,19.0,1.0,47,1.0,24374
Malvern East,28098,145,64,6.0,33,,20.0,3.0,53,,28098
Malvern West,19412,93,55,2.0,16,,14.0,3.0,47,2.0,19412
Morningside Heights,28167,119,153,1.0,33,,23.0,8.0,70,16.0,28167
West Rouge,22396,70,99,4.0,26,1.0,22.0,3.0,47,4.0,22396
Woburn North,29500,186,103,13.0,44,2.0,22.0,4.0,92,9.0,29500
Golfdale-Cedarbrae-Woburn,28651,193,78,8.0,24,1.0,32.0,3.0,76,9.0,28651
Guildwood,10332,56,23,2.0,9,,1.0,,29,4.0,10332
Scarborough Village,17713,153,46,6.0,36,,24.0,2.0,71,4.0,17713
Eglinton East,24231,168,49,16.0,53,1.0,33.0,3.0,98,8.0,24231
West Hill,29259,443,81,15.0,54,2.0,56.0,11.0,146,20.0,29259
Morningside,18463,131,50,2.0,8,,3.0,4.0,49,3.0,18463
Highland Creek,13871,64,60,3.0,14,,3.0,3.0,22,2.0,13871
Centennial Scarborough,14609,39,46,,17,,7.0,,29,2.0,14609
Milliken,28371,89,298,3.0,77,,37.0,3.0,89,24.0,28371
Agincourt North,31260,82,119,4.0,44,,15.0,1.0,30,5.0,31260
Agincourt South-Malvern West,28097,191,127,12.0,67,,18.0,6.0,72,11.0,28097
Dorset Park,26286,218,98,15.0,66,4.0,30.0,2.0,97,24.0,26286
Ionview,14121,126,34,5.0,15,,4.0,2.0,32,2.0,14121
Kennedy Park,18173,317,45,8.0,41,,33.0,7.0,73,12.0,18173
Cliffcrest,17922,183,60,3.0,24,1.0,13.0,4.0,49,2.0,17922
Birchcliffe-Cliffside,23417,209,71,6.0,35,,13.0,1.0,54,7.0,23417
Downtown Yonge East,18023,656,45,205.0,118,2.0,90.0,5.0,113,25.0,18023
Church-Wellesley,22938,334,37,102.0,76,1.0,55.0,1.0,78,26.0,22938
St Lawrence-East Bayfront-The Islands,31003,445,43,106.0,97,,42.0,3.0,111,31.0,31003
Harbourfront-CityPlace,31477,271,34,88.0,77,1.0,22.0,3.0,90,15.0,31477
Wellington Place,28870,429,71,80.0,141,1.0,46.0,6.0,92,32.0,28870
Fort York-Liberty Village,21860,167,23,43.0,33,2.0,7.0,1.0,37,12.0,21860
West Queen West,15136,108,14,42.0,43,,10.0,,31,5.0,15136
Humber Bay Shores,20822,152,78,16.0,37,,9.0,1.0,30,10.0,20822
Mimico-Queensway,18313,519,69,5.0,34,1.0,8.0,2.0,54,25.0,18313
Etobicoke City Centre,25495,308,294,17.0,70,3.0,40.0,4.0,188,60.0,25495
Islington,25937,137,170,8.0,58,,12.0,,47,13.0,25937
Bendale South,10881,82,24,2.0,15,,20.0,1.0,25,2.0,10881
Caledonia-Fairbank,10581,63,33,9.0,14,1.0,4.0,2.0,10,2.0,10581
Briar Hill-Belgravia,15146,89,37,5.0,38,,22.0,1.0,53,8.0,15146
Oakwood Village,22404,112,58,10.0,36,,13.0,2.0,45,3.0,22404
Humewood-Cedarvale,15620,54,53,14.0,38,,1.0,,26,3.0,15620
Lawrence Park North,15581,32,81,6.0,33,,6.0,,33,7.0,15581
Lawrence Park South,16778,33,120,6.0,58,,7.0,,22,6.0,16778
Forest Hill North,13172,63,53,3.0,46,,9.0,,35,3.0,13172
Forest Hill South,12160,43,94,11.0,75,,1.0,1.0,15,3.0,12160
Yonge-Eglinton,13743,104,40,16.0,33,,12.0,2.0,18,15.0,13743
Mount Pleasant East,18084,77,57,13.0,20,,8.0,,23,5.0,18084
Rosedale-Moore Park,23053,271,143,45.0,101,1.0,24.0,1.0,46,23.0,23053
Yonge-St.Clair,13953,35,38,14.0,36,,2.0,,19,2.0,13953
Casa Loma,11972,56,42,9.0,47,,15.0,,10,6.0,11972
Annex,34502,396,81,81.0,138,,67.0,,107,63.0,34502
Wychwood,14609,89,26,13.0,41,,25.0,6.0,22,1.0,14609
Corso Italia-Davenport,14784,147,39,18.0,41,1.0,19.0,3.0,39,12.0,14784
Weston-Pelham Park,12330,119,21,7.0,38,,6.0,4.0,16,4.0,12330
Junction Area,15252,136,46,16.0,68,,19.0,1.0,40,9.0,15252
Oakridge,15389,215,22,3.0,29,,20.0,3.0,54,4.0,15389
Clairlea-Birchmount,28782,278,122,8.0,59,,22.0,4.0,92,10.0,28782
Wexford/Maryvale,29870,260,203,27.0,77,,31.0,4.0,118,19.0,29870
Tam O'Shanter-Sullivan,29770,136,100,16.0,43,,21.0,3.0,70,5.0,29770
Steeles,26395,49,63,3.0,27,,7.0,1.0,23,1.0,26395
Mount Dennis,14256,122,55,3.0,31,,9.0,2.0,32,7.0,14256
Lambton Baby Point,8294,31,20,1.0,15,,5.0,1.0,8,2.0,8294
Weston,19809,243,106,11.0,61,1.0,36.0,4.0,60,4.0,19809
Beechborough-Greenbrook,7057,82,23,3.0,24,1.0,12.0,5.0,12,7.0,7057
Rockcliffe-Smythe,23453,180,75,12.0,53,,20.0,8.0,93,11.0,23453
Keelesdale-Eglinton West,11969,112,34,2.0,29,1.0,26.0,1.0,23,3.0,11969
Palmerston-Little Italy,14699,77,14,33.0,35,2.0,21.0,2.0,30,8.0,14699
University,7564,127,7,53.0,55,,14.0,,39,11.0,7564
Kensington-Chinatown,21229,482,50,137.0,145,1.0,46.0,5.0,104,29.0,21229
North St.James Town,20492,276,10,41.0,40,,29.0,1.0,56,9.0,20492
Moss Park,22207,627,43,99.0,145,7.0,56.0,3.0,108,25.0,22207
Regent Park,14166,160,12,27.0,40,,20.0,2.0,34,8.0,14166
Cabbagetown-South St.James Town,11968,131,19,31.0,53,,14.0,,50,6.0,11968
South Riverdale,30135,339,81,85.0,97,1.0,44.0,3.0,91,27.0,30135
Blake-Jones,8229,81,7,11.0,34,1.0,11.0,4.0,15,3.0,8229
North Riverdale,12168,80,27,15.0,32,1.0,9.0,2.0,19,2.0,12168
Playter Estates-Danforth,7764,106,32,11.0,25,,18.0,2.0,26,,7764
Danforth,10173,132,25,13.0,23,,21.0,2.0,28,5.0,10173
Greenwood-Coxwell,15400,127,29,16.0,23,1.0,7.0,,36,3.0,15400
Woodbine Corridor,13282,102,32,9.0,25,,7.0,1.0,34,3.0,13282
The Beaches,23097,113,58,25.0,39,1.0,16.0,,49,16.0,23097
East End-Danforth,23011,218,50,27.0,44,2.0,17.0,1.0,64,7.0,23011
Taylor-Massey,16157,144,28,16.0,18,,28.0,1.0,33,3.0,16157
Woodbine-Lumsden,8141,32,16,5.0,12,1.0,,,13,4.0,8141
Danforth East York,17883,102,51,4.0,12,,4.0,,45,4.0,17883
Old East York,9540,63,32,6.0,7,,6.0,2.0,27,1.0,9540
Runnymede-Bloor West Village,10772,58,42,15.0,31,,18.0,1.0,19,6.0,10772
High Park North,24474,187,41,28.0,54,1.0,24.0,,26,4.0,24474
High Park-Swansea,26135,106,54,19.0,52,1.0,9.0,3.0,40,10.0,26135
Roncesvalles,15939,136,28,21.0,48,,21.0,1.0,39,5.0,15939
South Parkdale,23054,324,43,30.0,63,,23.0,,34,21.0,23054
Little Portugal,17399,129,23,17.0,32,,15.0,1.0,45,10.0,17399
Dufferin Grove,12709,148,18,58.0,36,,29.0,1.0,39,8.0,12709
Trinity-Bellwoods,17814,139,28,46.0,73,,25.0,1.0,40,9.0,17814
Don Valley Village,29424,166,161,7.0,45,2.0,30.0,5.0,104,14.0,29424
Pleasant View,16732,52,45,11.0,17,,14.0,,36,5.0,16732
Flemingdon Park,23485,167,39,6.0,24,,13.0,4.0,49,5.0,23485
Victoria Village,18592,146,54,2.0,26,,16.0,4.0,55,11.0,18592
Banbury-Don Mills,31047,132,150,14.0,99,1.0,24.0,4.0,65,14.0,31047
Bridle Path-Sunnybrook-York Mills,10707,48,80,8.0,96,,3.0,,26,8.0,10707
St.Andrew-Windfields,20205,58,136,11.0,90,1.0,15.0,,34,12.0,20205
Bedford Park-Nortown,25583,52,229,7.0,122,,12.0,,71,13.0,25583
Lansing-Westgate,17872,89,113,11.0,58,,24.0,,56,8.0,17872
Willowdale West,19546,115,59,6.0,40,,38.0,,53,11.0,19546
Newtonbrook West,26265,200,214,20.0,52,,30.0,1.0,150,14.0,26265
Westminster-Branson,27742,119,85,5.0,29,,4.0,,69,7.0,27742
Bathurst Manor,17255,88,76,5.0,42,1.0,16.0,,56,4.0,17255
Clanton Park,19089,134,154,9.0,68,,16.0,3.0,72,11.0,19089
Englemount-Lawrence,24465,125,68,9.0,49,,17.0,4.0,54,7.0,24465
Yorkdale-Glen Park,17258,207,199,13.0,154,,74.0,,118,44.0,17258
Brookhaven-Amesbury,18738,166,74,5.0,39,,30.0,,54,9.0,18738
Maple Leaf,10575,50,49,,17,,5.0,1.0,17,1.0,10575
Rustic,10404,89,34,,19,,2.0,3.0,14,2.0,10404
York University Heights,29897,409,263,16.0,218,,106.0,6.0,178,40.0,29897
Glenfield-Jane Heights,32251,327,119,5.0,43,,31.0,14.0,54,27.0,32251
Broadview North,12200,81,17,11.0,22,,3.0,,28,3.0,12200
Leaside-Bennington,18185,38,112,12.0,49,,5.0,,54,9.0,18185
Thorncliffe Park,22508,128,55,10.0,49,,12.0,4.0,33,8.0,22508
O'Connor-Parkview,19901,133,61,8.0,44,1.0,3.0,,38,6.0,19901
Henry Farm,22782,107,67,8.0,25,1.0,13.0,,89,10.0,22782
Bayview Village,25685,137,96,17.0,66,,9.0,2.0,115,18.0,25685
Newtonbrook East,17338,87,75,8.0,36,1.0,20.0,1.0,43,15.0,17338
Bayview Woods-Steeles,13641,60,34,3.0,27,,7.0,,33,1.0,13641
Hillcrest Village,18076,68,73,2.0,40,,13.0,1.0,42,8.0,18076
Alderwood,13503,44,48,2.0,20,,8.0,,16,8.0,13503
Long Branch,11601,96,37,16.0,27,,7.0,,19,2.0,11601
New Toronto,12205,168,38,9.0,38,,16.0,1.0,36,5.0,12205
Stonegate-Queensway,26728,137,148,7.0,101,2.0,18.0,1.0,69,11.0,26728
Kingsway South,10257,65,88,9.0,55,,8.0,,13,6.0,10257
Etobicoke West Mall,12713,66,62,3.0,12,,1.0,2.0,49,5.0,12713
Markland Wood,10741,45,50,1.0,15,,4.0,,23,1.0,10741
Eringate-Centennial-West Deane,19558,90,120,2.0,31,,13.0,,45,3.0,19558
Princess-Rosethorn,12552,25,115,2.0,63,,12.0,2.0,19,5.0,12552
Edenbridge-Humber Valley,17271,53,115,2.0,63,,7.0,1.0,28,5.0,17271
Humber Heights-Westmount,11398,53,25,1.0,13,,6.0,4.0,20,2.0,11398
Willowridge-Martingrove-Richview,24097,123,105,3.0,31,,17.0,4.0,61,3.0,24097
Kingsview Village-The Westway,22759,151,112,1.0,40,,23.0,2.0,101,8.0,22759
Elms-Old Rexdale,9884,61,40,6.0,16,,14.0,,43,4.0,9884
Rexdale-Kipling,10722,76,74,1.0,16,,24.0,1.0,47,4.0,10722
Thistletown-Beaumond Heights,10530,66,48,5.0,23,,13.0,,55,14.0,10530
Mount Olive-Silverstone-Jamestown,35386,297,152,11.0,24,4.0,54.0,16.0,121,11.0,35386
West Humber-Clairville,36388,322,829,10.0,212,2.0,77.0,9.0,315,80.0,36388
Black Creek,23047,231,83,5.0,29,,28.0,7.0,54,13.0,23047
Pelmo Park-Humberlea,12121,104,101,,23,,13.0,3.0,24,6.0,12121
Humbermede,16568,159,122,2.0,29,,14.0,2.0,76,11.0,16568
Humber Summit,13425,165,131,4.0,90,2.0,25.0,6.0,88,42.0,13425
